sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,pop,super_pop
NA19024,59.047858796113296,-2.946369615545609,-0.5148827694417678,1.3133997050770785,4.722306058713479,-7.039865852062621,-8.299239614777845,-8.892346998944593,-0.35690699678734983,5.54671892876689,-0.24687175942187797,8.55766539533707,8.441481854263158,-5.200253908111209,-13.736040680562011,-3.3509173615814802,1.688902080554615,-0.04286804990777961,0.33659526131429873,-2.6501466124934216,LWK,AFR
HG03117,61.666215619650124,-1.8046612221669,-0.8219319888235128,1.1921577722819507,-10.069679052297081,-10.44538607524843,2.390796228317337,-1.8379316394204346,-1.2207338604753346,3.873254523608868,-5.957573990931624,-3.477094673996559,-8.35968823623292,0.4842774653628403,-7.413607195499358,2.3795129306356686,-0.7936739416700566,7.2878120725558455,-9.049763789826278,5.409948510475533,ESN,AFR
NA19120,60.824795289985126,-5.0161017297758175,1.0939543092824013,-1.186251093712681,4.502607859978453,-14.302279584655773,-0.5210465160826364,-0.6009395010928665,5.089638433503608,-1.6056551986808825,2.2321766512236265,-7.5219925531929785,-3.580225768135645,0.8451537501396246,7.539338766555711,6.542599901564959,-0.07143094021316801,-4.517024884072754,-5.227141710711149,0.6837182268369594,YRI,AFR
HG03492,-18.62797071711191,11.73255045395923,-12.61534203554207,5.573456033941169,-0.04693393338097097,0.9339060792858797,1.7646689910896134,4.943682106614724,-3.381559145744996,1.1323029792342323,2.3590682925980273,-0.41424722323490887,5.398372178117513,3.8246440038510134,-1.6986131428802784,3.7199120091520976,-4.154484050335813,4.786298932413409,-3.3935787596114424,-4.950053628720546,PJL,SAS
NA19238,59.96560121983847,-4.895295089334841,0.689173196488896,1.189253648743008,-2.9823367953659563,-9.272207715007669,-1.3549738176542225,-3.8235030803334364,3.8694737686378535,-1.492045477263513,-1.063725789184827,-11.496715029559045,1.7489367524069432,-9.042755508854482,1.7918128681151035,-5.64533649220876,-2.284617644797213,16.311667151047406,-2.2364510509166027,-1.6089296966143019,YRI,AFR
NA19148,59.541183179856816,-5.657175493943267,-0.3341286124360516,-0.15684404377661507,9.100892654194643,-5.581189497649049,-3.0023911440565643,1.7380269957405214,-3.306388809318394,1.9871959945781223,-6.733800272570907,-2.0392818710549627,-3.0705683649448243,-1.8305279393208613,-0.40321206502201357,1.982223529199267,-2.697230540472881,1.9482389416219965,-2.1937175833616256,1.1024371264008925,YRI,AFR
HG01956,60.067936252445044,-4.700585032433237,-0.096471043580672,-1.4034053818614776,6.809728115832679,-0.47298991706813015,0.07207962150460176,1.9123979493386287,3.2366187993525894,9.134522661761407,-4.804155971132675,-0.2152612417947361,1.559425338247745,1.0095705675498203,-3.7195863821269906,2.6493433696597677,2.9159495617533193,3.4287549710908523,-2.754903171676894,-7.052626678502201,ACB,AFR
HG00284,-23.13381697704,27.606544799626757,3.1706044832042135,-10.330223741472395,-6.0488685686237265,0.8933294782164319,10.063785888943944,-2.2430535501403424,-3.8577931304115247,-7.71438584326971,-7.872365126464103,-4.157198394259114,-2.3564686302425715,6.693282254274095,-1.0626635028969738,7.5376944187239925,0.20820522280735307,-9.778936641312667,-0.22186107510205447,5.6299425373867775,FIN,EUR
NA19404,54.157372855891744,-2.4954057942972447,1.417620689828006,-0.1046196664742445,3.059870757542641,-5.959034202439457,1.172804858897648,-6.779122413325494,-7.944436803039798,3.033466824326005,0.4073521257214169,14.068029355780622,10.340919765376105,-4.101881365175374,-6.1137592323539955,-1.1161975065407215,0.5840619186804418,-0.7312194519251186,3.4075077738879282,3.0526948100270395,LWK,AFR
HG01530,-19.304861457137818,27.16875450919191,3.290256779984238,-10.791979842869399,-0.02653995314194287,1.022542935974719,-3.139401749488939,-1.7664083554957655,-2.946239288573194,0.8013696286225377,-0.08693959031008798,-2.3183186534292637,-0.8172141165249397,1.852619602863127,-5.194831848488634,3.8630957419352523,-0.331425563611608,-2.971719576807381,-4.119029566862806,6.390693439777279,IBS,EUR
